id,Région,candidat_1,c1_photo,candidat_2,c2_photo,candidat_3,c3_photo,autres candidats,enjeux
1,Alsace-Champagne-Ardenne-Lorraine,Philippe Richert (UMP sortant),./img/reg-02.png,Florian Philippot (FN),./img/reg-01.png,,,Jean-Pierre Masseret (PS sortant)|Sandrine Bélier (EE-LV)|Laurent Hénart (UDI),"L'ancienne région Alsace, qui fait partie de cette région ACAL, est la seule actuellement à droite. Le président sortant d'Alsace, Philippe Richert, pour l'UMP, affrontera Florian Philippot pour le FN et le président sortant de la Lorraine, Jean-Pierre Masseret, pour le PS."
2,Aquitaine-Limousin-Poitou-Charentes,Alain Rousset (PS),./img/reg-03.png,Virginie Calmels (UMP),./img/reg-04.png,,,Françoise Coutant (EE-LV)|Jean-Marc Gabouty (UDI),"La région ALPC est une des chances de la gauche. Alain Rousset, le président sortant d'Aquitaine y affrontera Virginie Calmels, adjointe d'Alain Juppé à Bordeaux qui mènera une liste UMP-UDI."
3,Auvergne-Rhône-Alpes,Laurent Wauquiez (UMP),./img/reg-05.png,Jean-Jack Queyranne (PS sortant),./img/reg-06.png,,,Jean-Charles Kohlhaas (EELV)|Christophe Boudot (FN)|Franck Reynier (UDI),"Jean-Jack Queyranne rempilera-t-il pour un troisième mandat ? Face à lui, le très médiatique maire du Puy-en-Velay, Laurent Wauquiez, espère gagner la région ARA."
4,Bourgogne-Franche-Comté,François Sauvadet (UDI),./img/reg-07.png,? (PS),./img/reg-08.png,Sophie Montel (FN),./img/reg-09.png,Cécile Prudhomme (EE-LV)|Alain Joyandet (UMP),"Dans la région BFC, les candidatures ne sont pas encore décidées à droite, entre l'UDI François Sauvadet et l'UMP Alain Joyandet. A gauche, François Patriat et Marie-Guite Dufay souhaitent tous les deux emmener les socialistes. Ils affronteront Sophie Montel du FN, qui avait perdu au second tour dans la législative partielle du 8 février dans le Doubs."
5,Bretagne,? (PS),./img/reg-08.png,Marc Le Fur (UMP),./img/reg-10.png,,,René Louail (EE-LV)|Gilles Pennelle (FN)|Michel Canévet (UDI),"En Bretagne, terre de gauche, le candidat socialiste n'est pas encore nommé, mais la possibilité que ce soit l'actuel ministre de la Défense Jean-Yves Le Drian est évoquée. Il affrontera notamment Marc Le Fur à l'UMP. "
6,Centre-Val de Loire,Philippe Vigier (UDI),./img/reg-11.png,François Bonneau (PS sortant),./img/reg-12.png,,,Charles Fournier (EE-LV)|Guillaume Peltier (UMP),"Dans la région Centre-Val de Loire, l'accord entre l'UDI et l'UMP doit encore être finalisé, et il devrait porter le centriste Philippe Vigier à la tête de la liste. Le candidat de la droite affrontera le président sortant socialiste, François Bonneau."
7,Corse,Paul Giacobbi (PRG),./img/reg-13.png,? (UMP),./img/reg-08.png,,,Jean Toma (UDI),"En Corse, le président radical de gauche a annoncé son souhait de se réprésenter. Le candidat de l'UMP n'a pas encore été investi."
8,Île-de-France,Claude Bartolone (PS),./img/reg-14.png,Valérie Pécresse (UMP),./img/reg-15.png,,,Emmanuelle Cosse (EE-LV)|Wallerand de Saint-Just (FN)|Chantal Jouanno (UDI)|Marielle de Sarnez (Modem)|Nicolas Dupont-Aignan (DLF)|Nathalie Artaud (LO),"En Ile-de-France, les résultats seront serrés. La candidature éclair de Claude Bartolone permettra peut-être à la gauche de conserver la région."
9,Languedoc-Roussillon-Midi-Pyrénées,Carole Delga (PS),./img/reg-16.png,Dominique Reynié (UMP),./img/reg-17.png,,,Gérard Onesta (EE-LV)|Louis Aliot (FN)|Sylvia Pinel (PRG),"Dans la région LRMP, le politilogue Dominique Reynié descend dans l'arène avec l'étiquette UDI-UMP. Il devrait affronter l'actuelle secrétaire d'Etat au commerce, Carole Delga. Mais les radicaux espèrent, en échange de leur soutien aux socialistes, une tête de liste régionale qui pourrait être la ministre du Logement, Sylvia Pinel, dans cette même région."
10,Nord-Pas-de-Calais-Picardie,? (FN),./img/reg-08.png,Xavier Bertrand (UMP),./img/reg-18.png,Pierre de Saintignon (PS),./img/reg-19.png,Sandrine Rousseau (EE-LV),"Le ou la candidate du Front national dans le NPCP ne devrait être connu qu'à la fin du mois de mai. C'est une des deux régions où le parti d'extrême droite a le plus de chance de l'emporter. Marine Le Pen, présidente du FN, pourrait mener la liste face à l'ancien ministre Xavier Bertrand et au premier adjoint de Martine Aubry à Lille, Pierre de Saintignon."
11,Normandie,Hervé Morin (UDI),./img/reg-20.png,Nicolas Mayer-Rossignol (PS sortant),./img/reg-21.png,,,Yanic Soubien (EE-LV)|Nicolas Bay (FN),"En Normandie, Hervé Morin, ancien ministre de la Défense, affrontera Nicolas Mayer-Rossignol, président sortant de la Haute-Normandie et plus jeune président de région."
12,Pays-de-la-Loire,Bruno Retailleau (UMP),./img/reg-22.png,Christophe Clergeau (PS),./img/reg-23.png,,,Sophie Bringuy (EE-LV)|Pascal Gannat (FN)|Yannick Favennec (UDI),"Dans les Pays-de-la-Loire, l'actuel vice-président socialiste Christophe Clergeau affrontera Bruno Retailleau, patron des sénateurs UMP."
13,Provence-Alpes-Côte d'Azur,Marion Maréchal-Le Pen (FN),./img/reg-24.png,Christian Estrosi (UMP),./img/reg-25.png,Christophe Castaner (PS),./img/reg-30.png,Sophie Camard (EE-LV)|Sophie Joissains (UDI),"En Paca, Christian Estrosi a été investi par l'UMP. Pour le FN, Marion Maréchal-Le Pen a été désignée par son parti mais se donne le temps de la réflexion après les bisbilles internes et familiales. Le socialiste Christophe Castaner pourrait l'emporter à la faveur d'une triangulaire."
15,Guadeloupe,Victorin Lurel (PS sortant),./img/reg-26.png,? (UMP),./img/reg-08.png,,,,"L'ancien ministre des Outre-Mer de François Hollande, Victorin Lurel, espère se faire réélire à la tête de la Guadeloupe."
16,Martinique,Serge Letchimy (PPM),./img/reg-27.png,Yan Monplaisir (UMP),./img/reg-28.png,Alfred Marie-Jeanne (MIM),./img/reg-29.png,Philippe Petit (UDI),"En Martinique, c'est une élection territoriale qui se déroulera en décembre. Elle devrait voir s'opposer Serge Letchimy, proche de la gauche, à Yan Monplaisir (UMP) et Alfred Marie-Jeanne, pour les indépendantistes."